zcta5,stab,zipname,pop10
ZIP census tabulation area,State abbreviation,ZCTA name,Population (2010)
1507,MA,"Charlton, MA",12981
1510,MA,"Clinton, MA",13606
1515,MA,"East Brookfield, MA",2183
1516,MA,"Douglas, MA",8500
1518,MA,"Fiskdale, MA",2974
1519,MA,"Grafton, MA",6595
1520,MA,"Holden, MA",13997
1521,MA,"Holland, MA",2481
1522,MA,"Jefferson, MA",3310
1523,MA,"Lancaster, MA",7582
1524,MA,"Leicester, MA",6696
1525,MA,"Linwood, MA (PO Boxes)",290
1527,MA,"Millbury, MA",13246
1529,MA,"Millville, MA",3190
1531,MA,"New Braintree, MA",999
1532,MA,"Northborough, MA",14155
1534,MA,"Northbridge, MA",5631
1535,MA,"North Brookfield, MA",4680
1536,MA,"North Grafton, MA",6888
1537,MA,"North Oxford, MA",2248
1540,MA,"Oxford, MA",11291
1541,MA,"Princeton, MA",3413
1542,MA,"Rochdale, MA",2202
1543,MA,"Rutland, MA",7973
1545,MA,"Shrewsbury, MA",35299
1550,MA,"Southbridge Town, MA",16719
1560,MA,"South Grafton, MA",4527
1561,MA,"South Lancaster, MA",330
1562,MA,"Spencer, MA",11688
1564,MA,"Sterling, MA",7808
1566,MA,"Sturbridge, MA",6294
1568,MA,"Upton, MA",7480
1569,MA,"Uxbridge, MA",13569
1570,MA,"Webster, MA",16767
1571,MA,"Dudley, MA",11390
1581,MA,"Westborough, MA",18272
1583,MA,"West Boylston, MA",7591
1585,MA,"West Brookfield, MA",4554
1588,MA,"Whitinsville, MA",9733
1590,MA,"Sutton, MA",8875
1602,MA,"Worcester, MA",22819
1603,MA,"Worcester, MA",19916
1604,MA,"Worcester, MA",34677
1605,MA,"Worcester, MA",26221
1606,MA,"Worcester, MA",19077
1607,MA,"Worcester, MA",8351
1608,MA,"Worcester, MA",3888
1609,MA,"Worcester, MA",22421
1610,MA,"Worcester, MA",23945
1611,MA,"Cherry Valley, MA",2242
1612,MA,"Paxton, MA",4845
1701,MA,"Framingham, MA",31217
1702,MA,"Framingham, MA",37206
1718,MA,"Village Of Nagog Woods, MA",469
1719,MA,"Boxborough, MA",4996
1720,MA,"Acton, MA",21361
1721,MA,"Ashland, MA",16593
1730,MA,"Bedford, MA",13221
1731,MA,"Hanscom Afb, MA",1396
1740,MA,"Bolton, MA",4897
1741,MA,"Carlisle, MA",4852
1742,MA,"Concord, MA",17726
1745,MA,"Fayville, MA",397
1746,MA,"Holliston, MA",13547
1747,MA,"Hopedale, MA",5911
1748,MA,"Hopkinton, MA",14925
1749,MA,"Hudson, MA",19063
1752,MA,"Marlborough, MA",38499
1754,MA,"Maynard, MA",10106
1756,MA,"Mendon, MA",5839
1757,MA,"Milford, MA",28061
1760,MA,"Natick, MA",32786
1770,MA,"Sherborn, MA",4119
1772,MA,"Southborough, MA",9370
1773,MA,"Lincoln, MA",5112
1775,MA,"Stow, MA",6590
1776,MA,"Sudbury, MA",17659
1778,MA,"Cochituate, MA",13109
1801,MA,"Woburn, MA",38903
1803,MA,"Burlington, MA",24487
1810,MA,"Andover, MA",33201
1821,MA,"Billerica, MA",30310
1824,MA,"Chelmsford, MA",24911
1826,MA,"Dracut, MA",29422
1827,MA,"Dunstable, MA",3179
1830,MA,"Haverhill, MA",25137
1832,MA,"Haverhill, MA",22060
1833,MA,"Georgetown, MA",8183
1834,MA,"Groveland, MA",6459
1835,MA,"Haverhill, MA",13682
1840,MA,"Lawrence, MA",4733
1841,MA,"Lawrence, MA",47225
1843,MA,"Lawrence, MA",24425
1844,MA,"Methuen Town, MA",47249
1845,MA,"North Andover, MA",28352
1850,MA,"Lowell, MA",15237
1851,MA,"Lowell, MA",30190
1852,MA,"Lowell, MA",33508
1854,MA,"Lowell, MA",27606
1860,MA,"Merrimac, MA",6338
1862,MA,"North Billerica, MA",10227
1863,MA,"North Chelmsford, MA",8891
1864,MA,"North Reading, MA",14892
1867,MA,"Reading, MA",23956
1876,MA,"Tewksbury, MA",28667
1879,MA,"Tyngsboro, MA",11305
1880,MA,"Wakefield, MA",24733
1886,MA,"Westford, MA",21951
1887,MA,"Wilmington, MA",22325
1890,MA,"Winchester, MA",21382
1901,MA,"Lynn, MA",1689
1902,MA,"Lynn, MA",45139
1904,MA,"Lynn, MA",18203
1905,MA,"Lynn, MA",25251
1906,MA,"Saugus, MA",26660
1907,MA,"Swampscott, MA",14027
1908,MA,"Nahant, MA",3410
1913,MA,"Amesbury Town, MA",16283
1915,MA,"Beverly, MA",39502
1921,MA,"Boxford, MA",7961
1922,MA,"Byfield, MA",3108
1923,MA,"Danvers, MA",26342
1929,MA,"Essex, MA",3504
1930,MA,"Gloucester, MA",28789
1937,MA,"Danvers, MA",151
1938,MA,"Ipswich, MA",13175
1940,MA,"Lynnfield, MA",12108
1944,MA,"Manchester, MA",5136
1945,MA,"Marblehead, MA",19808
1949,MA,"Middleton, MA",8987
1950,MA,"Newburyport, MA",17416
1951,MA,"Newbury, MA",3558
1952,MA,"Salisbury, MA",8283
1960,MA,"Peabody, MA",50944
1966,MA,"Rockport, MA",6952
1969,MA,"Rowley, MA",5856
1970,MA,"Salem, MA",41109
1982,MA,"South Hamilton, MA",7764
1983,MA,"Topsfield, MA",6089
1984,MA,"Wenham, MA",4875
1985,MA,"West Newbury, MA",4235
2019,MA,"Bellingham, MA",16332
2021,MA,"Canton, MA",21561
2025,MA,"Cohasset, MA",7542
2026,MA,"Dedham, MA",24711
2030,MA,"Dover, MA",5589
2032,MA,"East Walpole, MA",4226
2035,MA,"Foxboro, MA",16865
2038,MA,"Franklin Town, MA",31635
2043,MA,"Hingham, MA",22157
2045,MA,"Hull, MA",10293
2047,MA,"Humarock, MA (PO Boxes)",180
2048,MA,"Mansfield, MA",23184
2050,MA,"Marshfield, MA",25429
2052,MA,"Medfield, MA",12024
2053,MA,"Medway, MA",12752
2054,MA,"Millis-Clicquot, MA",7891
2056,MA,"Norfolk, MA",10981
2061,MA,"Norwell, MA",10506
2062,MA,"Norwood, MA",28602
2066,MA,"Scituate, MA",17656
2067,MA,"Sharon, MA",17486
2071,MA,"South Walpole, MA",1707
2072,MA,"Stoughton, MA",26999
2081,MA,"Walpole, MA",18472
2090,MA,"Westwood, MA",14636
2093,MA,"Wrentham, MA",10955
2108,MA,"Boston, MA",3825
2109,MA,"Boston, MA",3771
2110,MA,"Boston, MA",1733
2111,MA,"Boston, MA",7383
2113,MA,"Boston, MA",6915
2114,MA,"Boston, MA",11999
2115,MA,"Boston, MA",28441
2116,MA,"Boston, MA",20628
2118,MA,"Boston, MA",26498
2119,MA,"Boston, MA",25346
2120,MA,"Boston, MA",15181
2121,MA,"Boston, MA",25978
2122,MA,"Boston, MA",23479
2124,MA,"Boston, MA",47783
2125,MA,"Boston, MA",33295
2126,MA,"Boston, MA",25562
2127,MA,"Boston, MA",31799
2128,MA,"Boston, MA",40508
2129,MA,"Boston, MA",16439
2130,MA,"Boston, MA",35401
2131,MA,"Boston, MA",29826
2132,MA,"Boston, MA",25861
2134,MA,"Boston, MA",21503
2135,MA,"Boston, MA",42780
2136,MA,"Boston, MA",28488
2138,MA,"Cambridge, MA",36314
2139,MA,"Cambridge, MA",36349
2140,MA,"Cambridge, MA",17607
2141,MA,"Cambridge, MA",11910
2142,MA,"Cambridge, MA",3141
2143,MA,"Somerville, MA",24514
2144,MA,"Somerville, MA",23891
2145,MA,"Somerville, MA",25439
2148,MA,"Malden, MA",59503
2149,MA,"Everett, MA",41550
2150,MA,"Chelsea, MA",35124
2151,MA,"Revere, MA",51808
2152,MA,"Winthrop Town, MA",17497
2155,MA,"Medford, MA",57964
2163,MA,"Boston, MA",2582
2169,MA,"Quincy, MA",55055
2170,MA,"Quincy, MA",19505
2171,MA,"Quincy, MA",17711
2176,MA,"Melrose, MA",26983
2180,MA,"Stoneham, MA",21437
2184,MA,"Braintree Town, MA",35744
2186,MA,"Milton, MA",27003
2188,MA,"Weymouth Town, MA",14608
2189,MA,"Weymouth Town, MA",14559
2190,MA,"Weymouth Town, MA",16119
2191,MA,"Weymouth Town, MA",8457
2199,MA,"Boston, MA",1146
2210,MA,"Boston, MA",2090
2215,MA,"Boston, MA",26125
2301,MA,"Brockton, MA",61025
2302,MA,"Brockton, MA",32741
2322,MA,"Avon, MA",4356
2324,MA,"Bridgewater, MA",26563
2330,MA,"Carver, MA",11509
2332,MA,"Duxbury, MA",15059
2333,MA,"East Bridgewater, MA",13794
2338,MA,"Halifax, MA",7518
2339,MA,"Hanover, MA",13879
2341,MA,"Hanson, MA",10218
2343,MA,"Holbrook, MA",10745
2346,MA,"Middleboro, MA",23106
2347,MA,"Lakeville, MA",10612
2351,MA,"Abington, MA",16029
2356,MA,"North Easton, MA",12564
2357,MA,"Easton, North Easton, MA",1360
2359,MA,"Pembroke, MA",17828
2360,MA,"Plymouth, MA",56271
2364,MA,"Kingston, MA",12629
2366,MA,"South Carver, MA (PO Boxes)",197
2367,MA,"Plympton, MA",2820
2368,MA,"Randolph, MA",32158
2370,MA,"Rockland, MA",17489
2375,MA,"South Easton, MA",9188
2379,MA,"West Bridgewater, MA",6916
2382,MA,"Whitman, MA",14489
2420,MA,"Lexington, MA",14052
2421,MA,"Lexington, MA",17342
2445,MA,"Brookline, MA",20679
2446,MA,"Brookline, MA",29311
2451,MA,"Waltham, MA",17426
2452,MA,"Waltham, MA",14238
2453,MA,"Waltham, MA",28968
2457,MA,"Wellesley, MA",1432
2458,MA,"Newton, MA",12131
2459,MA,"Newton, MA",19095
2460,MA,"Newton, MA",8742
2461,MA,"Newton, MA",7059
2462,MA,"Newton, MA",1554
2464,MA,"Newton, MA",2953
2465,MA,"Newton, MA",11710
2466,MA,"Newton, MA",8096
2467,MA,"Brookline, MA",22491
2468,MA,"Newton, MA",5273
2472,MA,"Watertown Town, MA",32014
2474,MA,"Arlington, MA",26312
2476,MA,"Arlington, MA",16532
2478,MA,"Belmont, MA",24664
2481,MA,"Wellesley, MA",16244
2482,MA,"Wellesley, MA",10306
2492,MA,"Needham, MA",19931
2493,MA,"Weston, MA",11261
2494,MA,"Needham, MA",8955
2532,MA,"Buzzards Bay, MA",12690
2534,MA,"Cataumet, MA (PO Boxes)",842
2535,MA,"Chilmark, MA",1177
2536,MA,"East Falmouth, MA",19583
2537,MA,"East Sandwich, MA",6293
2538,MA,"White Island Shores, MA",3603
2539,MA,"Edgartown, MA",4067
2540,MA,"Falmouth, MA",8221
2542,MA,"Buzzards Bay, MA",1139
2543,MA,"Woods Hole, MA",635
2553,MA,"Monument Beach, MA",226
2554,MA,"Nantucket, MA",9852
2556,MA,"North Falmouth, MA",3115
2557,MA,"Oak Bluffs, MA (PO Boxes)",4491
2558,MA,"Onset, MA",2156
2559,MA,"Pocasset, MA",3376
2561,MA,"Sagamore, MA",539
2562,MA,"Sagamore, MA",2977
2563,MA,"Sandwich, MA",10359
2564,MA,"Siasconset, MA",310
2568,MA,"Vineyard Haven, MA",4000
2571,MA,"Wareham, MA",10481
2575,MA,"West Tisbury, MA (PO Boxes)",2725
2576,MA,"West Wareham, MA",3754
2584,MA,"Nantucket, MA",10
2601,MA,"Barnstable Town, MA",14089
2630,MA,"Barnstable Town, MA",1850
2631,MA,"Brewster, MA",9679
2632,MA,"Barnstable Town, MA",10742
2633,MA,"Chatham, MA",3884
2635,MA,"Barnstable Town, MA",3296
2637,MA,"Barnstable Town, MA",253
2638,MA,"Dennis, MA",3207
